[2024-02-06 05:40:07,814]-[INFO]-#Producer Script Started
[2024-02-06 05:40:07,817]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
[2024-02-06 05:40:07,818]-[INFO]-#Probing node bootstrap-0 broker version
[2024-02-06 05:40:07,818]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
[2024-02-06 05:40:07,926]-[INFO]-#Broker version identified as 2.5.0
[2024-02-06 05:40:07,927]-[INFO]-#Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-02-06 05:40:07,931]-[INFO]-#Producer connected to Server
[2024-02-06 05:40:12,936]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -11.69, 'wind_speed': 8.43, 'humidity': 35.23}, {'city': 'Vancouver', 'temperature': -6.17, 'wind_speed': 31.81, 'humidity': 75.39}]
[2024-02-06 05:40:13,036]-[INFO]-#<BrokerConnection node_id=0 host=ubuntu-server:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to ubuntu-server:9092 [('10.0.2.15', 9092) IPv4]
[2024-02-06 05:40:13,040]-[INFO]-#<BrokerConnection node_id=0 host=ubuntu-server:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-02-06 05:40:13,040]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv4 ('127.0.0.1', 9092)]>: Closing connection. 
[2024-02-06 05:40:17,948]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 23.38, 'wind_speed': 19.09, 'humidity': 56.97}, {'city': 'Vancouver', 'temperature': 2.46, 'wind_speed': 7.69, 'humidity': 97.21}]
[2024-02-06 05:40:22,952]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -15.1, 'wind_speed': 20.77, 'humidity': 27.48}, {'city': 'Vancouver', 'temperature': 2.63, 'wind_speed': 37.41, 'humidity': 33.91}]
[2024-02-06 05:40:27,956]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 10.67, 'wind_speed': 17.15, 'humidity': 27.47}, {'city': 'Vancouver', 'temperature': 15.26, 'wind_speed': 33.3, 'humidity': 68.33}]
[2024-02-06 05:40:32,965]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 3.8, 'wind_speed': 25.36, 'humidity': 56.26}, {'city': 'Vancouver', 'temperature': -9.3, 'wind_speed': 12.17, 'humidity': 72.15}]
[2024-02-06 05:40:37,976]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 26.01, 'wind_speed': 22.42, 'humidity': 63.78}, {'city': 'Vancouver', 'temperature': 7.19, 'wind_speed': 5.29, 'humidity': 90.48}]
[2024-02-06 05:40:42,984]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -1.29, 'wind_speed': 10.7, 'humidity': 46.0}, {'city': 'Vancouver', 'temperature': 3.75, 'wind_speed': 12.8, 'humidity': 66.96}]
[2024-02-06 05:40:47,992]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 26.71, 'wind_speed': 48.71, 'humidity': 39.57}, {'city': 'Vancouver', 'temperature': 20.68, 'wind_speed': 29.25, 'humidity': 34.85}]
[2024-02-06 05:40:53,000]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 25.17, 'wind_speed': 1.42, 'humidity': 76.17}, {'city': 'Vancouver', 'temperature': 15.58, 'wind_speed': 39.17, 'humidity': 95.29}]
[2024-02-06 05:40:58,008]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -14.88, 'wind_speed': 17.86, 'humidity': 47.95}, {'city': 'Vancouver', 'temperature': -9.51, 'wind_speed': 48.5, 'humidity': 79.75}]
[2024-02-06 05:41:03,012]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -5.39, 'wind_speed': 48.41, 'humidity': 43.05}, {'city': 'Vancouver', 'temperature': -7.92, 'wind_speed': 21.24, 'humidity': 60.5}]
[2024-02-06 05:41:08,016]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 6.55, 'wind_speed': 46.84, 'humidity': 78.84}, {'city': 'Vancouver', 'temperature': 0.26, 'wind_speed': 17.53, 'humidity': 88.03}]
[2024-02-06 05:41:13,025]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 11.63, 'wind_speed': 44.43, 'humidity': 42.18}, {'city': 'Vancouver', 'temperature': -0.06, 'wind_speed': 1.91, 'humidity': 70.78}]
[2024-02-06 05:41:18,040]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -6.57, 'wind_speed': 48.14, 'humidity': 49.69}, {'city': 'Vancouver', 'temperature': 5.8, 'wind_speed': 35.06, 'humidity': 42.7}]
[2024-02-06 05:41:23,045]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 11.51, 'wind_speed': 0.67, 'humidity': 47.01}, {'city': 'Vancouver', 'temperature': 9.69, 'wind_speed': 44.02, 'humidity': 35.86}]
