car_model,year_of_manufacture,price,fuel
ritz,2014,10000.0,Petrol
sx4,2013,14179.1,Diesel
ciaz,2017,21641.79,Petrol
wagon r,2011,8507.46,Petrol
swift,2014,13731.34,Diesel
vitara brezza,2018,27611.94,Diesel
ciaz,2015,20149.25,Petrol
s cross,2015,19402.99,Diesel
ciaz,2016,26119.4,Diesel
ciaz,2015,22238.81,Diesel
alto 800,2017,8507.46,Petrol
ciaz,2015,20447.76,Diesel
ciaz,2015,22388.06,Petrol
ertiga,2015,18208.96,Petrol
dzire,2009,6716.42,Petrol
ertiga,2016,23134.33,Diesel
ertiga,2015,21641.79,Diesel
ertiga,2016,23134.33,Diesel
wagon r,2015,9701.49,CNG
sx4,2010,7910.45,Petrol
alto k10,2016,8507.46,Petrol
ignis,2017,14626.87,Petrol
sx4,2011,13134.33,Petrol
alto k10,2014,7462.69,Petrol
wagon r,2013,8656.72,Petrol
swift,2011,8955.22,Petrol
swift,2013,12388.06,Petrol
swift,2017,17910.45,Petrol
alto k10,2010,5820.9,Petrol
ciaz,2015,22238.81,Diesel
ritz,2012,9253.73,Diesel
ritz,2011,7014.93,Petrol
swift,2014,14776.12,Diesel
ertiga,2014,17910.45,Diesel
dzire,2014,16417.91,Diesel
sx4,2011,8805.97,CNG
dzire,2015,13880.6,Petrol
800,2003,1044.78,Petrol
alto k10,2016,8955.22,Petrol
sx4,2003,6716.42,Petrol
baleno,2016,17462.69,Petrol
alto k10,2014,7611.94,Petrol
sx4,2008,5820.9,Petrol
dzire,2014,16417.91,Diesel
omni,2012,3731.34,Petrol
ciaz,2014,22388.06,Petrol
ritz,2013,7910.45,Petrol
wagon r,2006,3134.33,Petrol
ertiga,2015,17313.43,Petrol
ciaz,2017,23134.33,Petrol
fortuner,2012,44477.61,Diesel
fortuner,2015,68656.72,Diesel
innova,2017,53731.34,Diesel
fortuner,2013,47761.19,Diesel
innova,2005,8208.96,Petrol
corolla altis,2009,10746.27,Petrol
etios cross,2015,13432.84,Petrol
corolla altis,2010,14179.1,Petrol
etios g,2014,12238.81,Petrol
fortuner,2014,59671.64,Diesel
corolla altis,2013,20746.27,Petrol
etios cross,2015,13432.84,Petrol
fortuner,2014,55970.15,Diesel
fortuner,2015,70149.25,Diesel
fortuner,2017,98507.46,Diesel
etios liva,2014,14179.1,Diesel
innova,2017,58955.22,Petrol
fortuner,2010,27611.94,Diesel
corolla altis,2011,12985.07,Petrol
corolla altis,2016,42537.31,Petrol
etios liva,2014,11791.04,Diesel
corolla altis,2011,13432.84,Diesel
corolla altis,2013,22238.81,Petrol
etios liva,2011,7910.45,Petrol
etios cross,2014,14626.87,Diesel
etios g,2015,11791.04,Petrol
corolla altis,2013,16417.91,Petrol
corolla,2004,4477.61,Petrol
corolla altis,2010,15671.64,Petrol
fortuner,2012,43283.58,Diesel
corolla altis,2016,43970.15,Diesel
etios gd,2015,14179.1,Diesel
innova,2017,68656.72,Diesel
innova,2015,37313.43,Diesel
innova,2005,10417.91,Diesel
camry,2006,7462.69,Petrol
land cruiser,2010,104477.61,Diesel
corolla altis,2012,17611.94,Petrol
etios liva,2013,10298.51,Petrol
etios g,2014,14179.1,Petrol
