[2024-02-06 05:40:09,514]-[INFO]-#Consumer Script Started
[2024-02-06 05:40:09,517]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
[2024-02-06 05:40:09,517]-[INFO]-#Probing node bootstrap-0 broker version
[2024-02-06 05:40:09,518]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
[2024-02-06 05:40:09,623]-[INFO]-#Broker version identified as 2.5.0
[2024-02-06 05:40:09,623]-[INFO]-#Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-02-06 05:40:09,624]-[WARNING]-#group_id is None: disabling auto-commit.
[2024-02-06 05:40:09,624]-[INFO]-#Updating subscribed topics to: ('weather-data',)
[2024-02-06 05:40:09,624]-[INFO]-#Consumer connected to Server
[2024-02-06 05:40:09,639]-[INFO]-#Connected to the PostgreSQL server successfully.
[2024-02-06 05:40:09,649]-[INFO]-#('Last Executed Query', b'\n    CREATE TABLE IF NOT EXISTS weather_data (\n        city VARCHAR,\n        temperature FLOAT,\n        windspeed FLOAT,\n        humidity FLOAT,\n        received_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP)\n    ')
[2024-02-06 05:40:09,670]-[INFO]-#Connected to the PostgreSQL server successfully.
[2024-02-06 05:40:09,672]-[INFO]-#Updated partition assignment: [TopicPartition(topic='weather-data', partition=0)]
[2024-02-06 05:40:09,761]-[INFO]-#<BrokerConnection node_id=0 host=ubuntu-server:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to ubuntu-server:9092 [('10.0.2.15', 9092) IPv4]
[2024-02-06 05:40:09,762]-[INFO]-#<BrokerConnection node_id=0 host=ubuntu-server:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-02-06 05:40:09,762]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv4 ('127.0.0.1', 9092)]>: Closing connection. 
[2024-02-06 05:40:13,060]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:40:13.052681')
[2024-02-06 05:40:17,960]-[INFO]-#('Data successfully added to table received at', '2024-02-06 05:40:17.953018')
